,StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q49,Q5,Q6,Q4,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,Create New Field or Choose From Dropdown...,CODE,age,gender,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
12,25/04/2022 08:16,25/04/2022 08:19,0,100,191,1,25/04/2022 08:20,NA,NA,NA,NA,51.8164,-0.3573,anonymous,EN,1,1,19,Woman,1,15.144,89.837,91.142,15,1,1,2,2,1,1,1,0,1,2,2,0,0,1,0,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,496,20,Woman,5,5,1,1,5,5,4,0,0,0,5,0,0,2
14,28/04/2022 06:33,28/04/2022 06:35,0,100,109,1,28/04/2022 06:35,NA,NA,NA,NA,51.5428,-0.1978,anonymous,EN,1,1,20,Woman,1,11.413,48.735,49.668,32,0,0,0,3,0,0,0,0,0,0,0,-2,-1,-2,-2,-1,-1,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,21/04/2022 07:36,21/04/2022 07:38,0,100,92,1,21/04/2022 07:38,NA,NA,NA,NA,50.7976,0.3029,anonymous,EN,1,1,19,Woman,1,16.161,52.852,54.1,12,1,4,4,4,4,2,4,4,1,4,3,1,1,1,1,2,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,28/04/2022 07:29,28/04/2022 07:32,0,100,187,1,28/04/2022 07:32,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,23.369,128.681,131.591,12,1,2,5,5,5,4,3,0,5,0,3,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,28/04/2022 07:46,28/04/2022 07:48,0,100,138,1,28/04/2022 07:48,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Woman,1,8.507,57.567,58.508,26,2,2,3,4,3,3,2,2,2,2,3,1,1,1,0,0,1,0,0,NA,555,18,Woman,4,4,1,2,4,4,0,0,3,0,0,4,2,2
18,25/04/2022 05:34,25/04/2022 05:37,0,100,178,1,25/04/2022 05:37,NA,NA,NA,NA,50.8326,-0.0764,anonymous,EN,1,1,20,Woman,1,2.519,86.457,87.124,29,1,0,1,2,0,1,2,0,0,1,0,1,0,0,2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,28/04/2022 09:37,28/04/2022 09:40,0,100,138,1,28/04/2022 09:40,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,21,Man,1,16.902,67.822,70.409,14,0,0,0,1,0,0,0,0,0,0,1,-2,-2,-1,-1,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,20/04/2022 07:33,20/04/2022 07:36,0,100,181,1,20/04/2022 07:36,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Man,1,1.707,76.479,77.512,25,1,1,3,4,4,4,1,1,0,0,1,1,1,1,1,-1,1,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,28/04/2022 11:23,28/04/2022 11:28,0,100,305,1,28/04/2022 11:28,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Woman,1,5.339,82.318,82.946,31,2,3,1,3,1,0,5,4,3,1,3,1,1,0,1,2,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,28/04/2022 11:19,28/04/2022 11:20,0,27,20,0,05/05/2022 11:20,NA,NA,NA,NA,NA,NA,anonymous,EN,1,1,19,Woman,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,22/04/2022 11:19,22/04/2022 11:21,0,100,144,1,22/04/2022 11:21,NA,NA,NA,NA,51.5975,0.2299,anonymous,EN,1,1,18,Woman,1,12.19,80.546,81.349,23,0,0,0,1,0,0,1,0,1,0,0,0,0,-1,-1,-1,1,-1,0,NA,454,18,Woman,5,4,2,2.5,5,3,0,0,1,0,0,5,2,3
24,26/04/2022 07:47,26/04/2022 11:57,0,5,15010,0,03/05/2022 11:57,NA,NA,NA,NA,NA,NA,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,27/04/2022 13:52,27/04/2022 13:54,0,100,159,1,27/04/2022 13:54,NA,NA,NA,NA,50.8326,-0.0764,anonymous,EN,1,1,19,Woman,1,11.35,91.319,92.303,11,0,0,0,2,1,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,17/04/2022 16:02,17/04/2022 16:07,0,100,291,1,17/04/2022 16:07,NA,NA,NA,NA,51.6216,0.309,anonymous,EN,1,1,19,Woman,1,22.024,185.88,186.966,31,2,2,0,3,0,2,5,5,0,0,5,2,2,1,2,2,2,2,2,NA,651,18,Woman,4,4,1,4,4,4,1,0,1,0,0,5,3,5
27,27/04/2022 10:30,27/04/2022 10:33,0,100,200,1,27/04/2022 10:33,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,4.071,116.734,118.057,30,1,1,0,4,0,0,1,0,0,1,1,1,0,1,-1,0,1,1,2,NA,581,20,Woman,3,1,3,2,4,4,0,0,1,0,4,0,3,1
28,08/04/2022 06:32,08/04/2022 06:35,0,100,159,1,08/04/2022 06:35,NA,NA,NA,NA,50.8345,-0.186,anonymous,EN,1,1,21,Woman,1,10.989,66.489,68.423,23,5,5,5,5,5,5,2,0,0,0,3,2,2,1,-1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,25/04/2022 07:29,25/04/2022 07:31,0,100,114,1,25/04/2022 07:31,NA,NA,NA,NA,52.0805,-0.1014,anonymous,EN,1,1,20,Woman,1,20.351,57.753,59.054,10,0,0,0,0,0,0,0,0,0,0,1,-1,-2,-2,-2,-2,2,2,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,07/04/2022 14:07,07/04/2022 14:10,0,100,170,1,07/04/2022 14:10,NA,NA,NA,NA,50.8483,-0.4472,anonymous,EN,1,1,21,Woman,1,1.131,78.37,79.509,23,0,0,0,0,0,0,4,4,0,0,3,1,1,1,-1,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,27/04/2022 08:51,27/04/2022 08:54,0,100,136,1,27/04/2022 08:54,NA,NA,NA,NA,50.8326,-0.0764,anonymous,EN,1,1,19,Woman,1,5.136,81.879,82.929,24,0,0,0,1,0,2,0,0,0,5,1,1,2,2,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,12/04/2022 15:30,12/04/2022 15:32,0,100,172,1,12/04/2022 15:32,NA,NA,NA,NA,51.48890686,-0.231796265,anonymous,EN,1,1,19,Woman,1,6.503,97.709,98.579,22,3,3,0,0,0,0,3,0,0,0,2,0,-1,-2,-1,0,-1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,25/04/2022 04:49,25/04/2022 04:52,0,100,203,1,25/04/2022 04:52,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Man,1,2.07,80.939,82.129,26,0,0,0,2,2,1,0,0,0,0,1,-1,-1,-2,-2,-2,-1,-1,-2,NA,825,18,Man,2,1,0,0,0,0,0,0,0,0,5,0,0,0
34,24/04/2022 12:14,24/04/2022 12:16,0,100,146,1,24/04/2022 12:16,NA,NA,NA,NA,51.1698,0.4424,anonymous,EN,1,1,27,Woman,1,12.763,71.59,72.547,13,3,0,0,4,0,0,5,1,0,0,5,0,0,1,1,0,0,2,2,NA,668,26,Woman,5,5,0,1.5,4,3,0,0,3,0,0,0,3,0
35,25/04/2022 09:17,25/04/2022 09:20,0,100,195,1,25/04/2022 09:20,NA,NA,NA,NA,51.1593,-2.16,anonymous,EN,1,1,22,Woman,1,13.096,123.438,125.001,18,0,0,0,3,0,0,2,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,29/04/2022 05:53,29/04/2022 05:54,0,100,55,1,29/04/2022 05:54,NA,NA,NA,NA,52.3111,4.861,anonymous,EN,1,1,19,Man,1,3.182,18.278,19.227,11,2,2,3,1,3,2,3,3,2,1,3,-1,0,1,-1,2,1,NA,0,NA,833,18,Man,4,2,0,0.5,4,3,0,0,1,2,4,1,0,1
37,26/04/2022 05:25,26/04/2022 05:27,0,100,152,1,26/04/2022 05:27,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,22,Man,1,15.124,72.287,73.32,17,1,1,3,5,3,4,1,0,1,1,3,0,-1,2,1,2,2,2,2,NA,528,21,Other/prefer not to say,5,4,1,2.5,5,3,0,0,2,4.47,5,4,1,4
38,25/04/2022 15:58,25/04/2022 16:01,0,100,184,1,25/04/2022 16:01,NA,NA,NA,NA,47.0042,28.8574,anonymous,EN,1,1,19,Woman,1,21.236,126.736,128.348,11,0,0,1,2,1,0,1,0,0,0,3,1,1,1,1,1,1,1,1,NA,861,19,Woman,3,0,0,1,2,1,0,0,1,0,2,0,2,0
39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,11/04/2022 09:02,11/04/2022 09:06,0,100,241,1,11/04/2022 09:06,NA,NA,NA,NA,51.65390015,-0.088806152,anonymous,EN,1,1,20,Woman,1,53.808,153.525,153.986,14,0,0,0,2,0,0,0,0,0,0,1,0,0,1,-1,1,1,1,0,NA,510,19,Woman,3,3,0,1,2,3,0,0,4,0,0,0,0,2
41,26/04/2022 07:45,26/04/2022 07:49,0,100,192,1,26/04/2022 07:49,NA,NA,NA,NA,50.7749,-0.711,anonymous,EN,1,1,21,Woman,1,12.841,128.116,129.362,15,0,0,3,3,1,2,1,1,4,0,0,-1,0,2,1,-1,-1,1,1,NA,851,20,Woman,4,4,0,0,2,1,0,0,2,0,5,0,0,0
42,28/04/2022 07:13,28/04/2022 07:15,0,100,103,1,28/04/2022 07:15,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,6.395,50.578,51.574,18,2,2,2,1,0,0,1,0,0,1,0,1,2,1,0,0,0,2,2,NA,590,20,Woman,5,4,1,1,5,5,5,0,3,1,1,1,1,1
43,12/04/2022 10:44,12/04/2022 10:45,0,100,92,1,12/04/2022 10:45,NA,NA,NA,NA,51.41079712,-0.67539978,anonymous,EN,1,1,19,Woman,1,11.747,45.606,46.84,13,2,1,1,0,0,0,2,0,0,0,1,1,1,1,-1,1,1,1,1,NA,574,19,Woman,4,3,4,0,5,1,0,0,2,0,0,1,0,0
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,474,20,Woman,5,5,2,4.5,4,4,0,0,2,2.24,5,1,4,5
45,29/04/2022 05:48,29/04/2022 05:49,0,100,50,1,29/04/2022 05:49,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,5.599,21.785,23.011,11,0,2,1,3,1,2,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,NA,480,18,Woman,4,3,0,3.5,2,2,1,0,1,0,0,5,3,4
46,29/04/2022 07:52,29/04/2022 07:55,0,100,163,1,29/04/2022 07:55,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,19,Another,1,10.696,82.381,84.912,23,0,0,2,3,4,1,0,0,0,0,0,1,0,-1,0,-1,1,-1,-2,NA,853,19,Non-binary,4,5,0,0.5,2,2,0,0,3,0,5,0,0,1
47,29/04/2022 06:23,29/04/2022 06:24,0,100,75,1,29/04/2022 06:24,NA,NA,NA,NA,51.3926,-0.1977,anonymous,EN,1,1,19,Woman,1,5.157,38.111,41.04,21,4,2,4,3,1,1,1,1,1,1,1,-1,0,-1,0,0,-1,-1,-1,NA,625,18,Woman,5,5,4,1,4,5,0,0,2,2.24,1,5,1,1
48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,23/04/2022 11:36,23/04/2022 11:41,0,100,300,1,23/04/2022 11:41,NA,NA,NA,NA,51.4746,-0.0924,anonymous,EN,1,1,22,Woman,1,13.587,174.065,175.096,33,0,0,0,2,1,0,2,0,0,0,1,1,1,0,-1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,19/04/2022 03:43,19/04/2022 03:47,0,100,200,1,19/04/2022 03:47,NA,NA,NA,NA,53.4604,-3.0176,anonymous,EN,1,1,21,Woman,1,22.986,103.246,104.208,14,0,0,0,2,3,3,0,0,0,0,0,0,1,-1,-1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,28/04/2022 12:04,28/04/2022 12:05,0,100,59,1,28/04/2022 12:05,NA,NA,NA,NA,50.831,-0.2734,anonymous,EN,1,1,19,Woman,1,1.424,18.127,19.383,13,2,3,2,3,2,3,3,2,2,3,2,1,-1,0,1,0,0,-1,1,NA,654,18,Woman,4,3,2,2,4,3,2,0,2,0,0,4,2,2
52,28/04/2022 07:11,28/04/2022 07:14,0,100,171,1,28/04/2022 07:14,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,21,Woman,1,17.931,66.064,67.764,11,0,0,0,0,0,0,0,0,0,0,0,-1,-2,-1,-1,-1,-1,-1,-1,NA,470,20,Woman,1,3,2,0.5,3,2,0,0,1,0,4,0,1,0
53,11/04/2022 08:58,11/04/2022 09:05,0,100,449,1,11/04/2022 09:05,NA,NA,NA,NA,50.86120605,-0.119400024,anonymous,EN,1,1,18,Woman,1,5.694,96.486,97.641,16,0,0,1,4,1,0,3,2,1,0,1,1,0,1,-1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,08/04/2022 03:37,08/04/2022 03:39,0,100,128,1,08/04/2022 03:39,NA,NA,NA,NA,51.4932,0.3411,anonymous,EN,1,1,18,Woman,1,10.337,48.385,49.578,11,0,0,2,0,0,0,0,0,0,0,0,-1,-2,-2,1,2,1,2,2,NA,702,18,Woman,3,3,2,2.5,1,1,0,0,4,0,5,0,1,4
55,15/04/2022 09:18,15/04/2022 09:23,0,100,314,1,15/04/2022 09:23,NA,NA,NA,NA,30.0778,31.2852,anonymous,EN,1,1,21,Man,1,17.915,219.662,226.122,14,0,0,0,5,0,3,0,0,0,0,0,-2,-2,-2,-1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,19/04/2022 10:55,19/04/2022 10:57,0,100,102,1,19/04/2022 10:57,NA,NA,NA,NA,51.5565,0.134,anonymous,EN,1,1,18,Woman,1,14.98,51.958,53.382,11,0,0,0,3,3,4,4,3,0,0,0,2,2,2,2,2,2,2,2,NA,862,18,Woman,3,3,0,5,4,2,0,0,3,0,0,5,5,5
57,09/04/2022 04:52,09/04/2022 04:54,0,100,142,1,09/04/2022 04:54,NA,NA,NA,NA,50.16679382,-5.118103027,anonymous,EN,1,1,19,Another,1,11.237,73.504,74.565,13,0,1,1,4,1,2,3,1,0,0,4,0,1,1,-2,2,-2,2,1,NA,803,19,Non-binary,5,4,0,0,3,0,0,0,0,0,3,0,0,0
58,25/04/2022 14:12,25/04/2022 14:17,0,100,284,1,25/04/2022 14:17,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Man,1,11.127,167.961,168.628,46,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,29/04/2022 06:03,29/04/2022 06:06,0,100,165,1,29/04/2022 06:06,NA,NA,NA,NA,50.8326,-0.0764,anonymous,EN,1,1,22,Man,1,8.441,64.784,66.901,12,1,0,0,1,1,1,0,0,0,0,0,-1,-1,0,-1,0,-1,-1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,25/04/2022 06:57,25/04/2022 06:59,0,100,133,1,25/04/2022 06:59,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,1.556,60.667,61.239,38,0,0,0,1,0,0,4,4,3,2,3,1,2,-1,0,2,-2,2,2,NA,763,19,Woman,5,5,0,0,4,2,0,0,0,0,0,0,0,0
61,11/04/2022 03:59,11/04/2022 04:02,0,100,141,1,11/04/2022 04:02,NA,NA,NA,NA,51.95939636,1.355300903,anonymous,EN,1,1,18,Woman,1,12.187,72.031,73.633,39,5,5,2,2,1,1,0,0,0,0,0,1,-1,-1,1,0,1,-1,-1,NA,830,18,Woman,3,1,1,1.5,4,3,0,0,4,0,0,5,2,1
62,25/04/2022 08:38,25/04/2022 08:41,0,100,143,1,25/04/2022 08:41,NA,NA,NA,NA,51.456,-0.0611,anonymous,EN,1,1,18,Woman,1,16.26,73.251,74.278,11,0,0,2,0,0,0,1,0,0,0,0,-2,-2,-2,-2,-2,-2,-1,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,29/04/2022 09:36,29/04/2022 09:39,0,100,147,1,29/04/2022 09:39,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,21,Woman,1,18.227,91.552,92.329,13,0,0,2,3,1,0,5,4,4,0,3,1,0,0,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,21/04/2022 11:02,21/04/2022 11:04,0,100,149,1,21/04/2022 11:04,NA,NA,NA,NA,51.6001,-0.2617,anonymous,EN,1,1,19,Woman,1,11.769,76.428,78.335,13,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,22/04/2022 04:48,22/04/2022 04:51,0,100,199,1,22/04/2022 04:51,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,46.695,94.849,95.901,12,0,0,0,3,3,2,0,0,0,0,0,0,-1,0,0,0,-1,0,0,NA,500,20,Woman,3,4,0,0,4,5,0,0,3,0,0,4,0,0
66,18/04/2022 09:42,18/04/2022 09:45,0,100,222,1,18/04/2022 09:45,NA,NA,NA,NA,50.6138,-3.4037,anonymous,EN,1,1,20,Another,1,9.94,99.936,101.117,25,0,0,0,3,2,1,2,0,0,0,4,-1,-1,0,-2,1,1,2,1,NA,807,19,Non-binary,4,4,5,2,4,5,0,3,4,0,0,5,3,1
67,29/04/2022 06:26,29/04/2022 06:28,0,100,117,1,29/04/2022 06:28,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,18,Woman,1,7.652,54.426,55.552,24,0,0,1,2,0,0,1,0,0,0,0,0,-2,-1,-1,-2,-2,-2,-2,NA,600,18,Woman,4,3,0,3,4,2,0,0,2,0,0,3,4,2
68,16/04/2022 10:22,16/04/2022 10:24,0,100,142,1,16/04/2022 10:24,NA,NA,NA,NA,51.4,-0.25,anonymous,EN,1,1,19,Man,1,9.31,66.289,68.135,12,3,1,0,0,0,0,3,0,0,4,0,1,1,-2,-2,-2,1,-2,-2,NA,516,18,Man,5,5,0,2,3,5,0,0,3,0,0,0,1,3
69,08/04/2022 08:48,08/04/2022 08:50,0,100,132,1,08/04/2022 08:50,NA,NA,NA,NA,52.6631,-2.4705,anonymous,EN,1,1,18,Woman,1,1.438,67.967,68.854,39,0,0,3,2,1,1,3,0,0,1,3,0,1,1,1,1,1,1,1,NA,552,18,Woman,4,5,3,0.5,4,4,0,0,3,2,1,4,1,0
70,18/04/2022 22:48,18/04/2022 22:53,0,100,281,1,18/04/2022 22:53,NA,NA,NA,NA,50.8612,-0.1194,anonymous,EN,1,1,20,Woman,1,9.68,213.326,214.031,14,0,0,2,3,1,1,2,4,4,0,1,0,1,0,0,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
