,Status,Progress,Duration (in seconds),Gender,Q20_Page Submit,Q1_1,Q2_1,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8_1,Q9_1,Q10_1,Q11_1,Belief questions_1,Belief questions_2,Belief questions_3,Belief questions_4,Belief questions_5,Belief questions_6,Belief questions_7,Belief questions_8,past_life_experience,out_of_body_experience,spirit_world_experience,past_life_belief,out_of_body_belief,spirit_world_belief,comb exp,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
495,0,100,144,Woman,67.249,2,4,5,5,4,3,2,4,3,3,5,1,1,1,-1,1,2,1,1,3.666666667,4,3.4,1,0,1.25,3.688888889,799,18,Woman,3.016,5,4,5,4,3,4,1,0,1,3.16,5,2,3,5
541,0,100,164,Woman,86.469,5,5,5,4,3,2,2,2,2,1,3,1,-1,-1,-2,-1,-2,1,1,5,3,2,0,-1.5,-0.25,3.333333333,13,19,Woman,2.966227766,5,4,3,1.5,5,5,0,0,3,3.16227766,5,2,2,1
591,0,100,225,Woman,146.233,1,0,1,4,2,4,0,0,0,0,0,-2,-2,-2,-2,-1,-2,-2,-2,0.666666667,3.333333333,0,-2,-2,-1.75,1.333333333,641,19,Woman,2.95,5,5,3,4.5,5,4,3,0,0,0,0,0,5,4
613,0,100,483,Woman,193.099,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-2,-2,0,-2,-2,0,0,0,-0.5,-1,-1.5,0,36,19,Woman,2.997213596,3,4,1,3.5,5,3,2,2,2,4.472135955,4,5,2,5
212,0,100,224,Woman,96.682,0,0,0,1,0,0,2,0,1,0,0,1,1,1,0,1,0,2,2,0,0.333333333,0.6,1,0.5,1.25,0.311111111,872,19,Woman,2.873,5,5,3,3,3,4,0,0,4,1.73,3,1,4,2
225,0,100,128,Woman,66.779,0,0,1,2,1,2,0,0,2,3,1,1,2,1,-2,-1,1,1,2,0.333333333,1.666666667,1.2,1.5,-0.5,0.75,1.066666667,61,18,Woman,2.873606798,4,5,1,3.5,5,4,1,0,3,2.236067977,5,1,4,3
311,0,100,122,Woman,68.179,0,0,5,2,0,0,1,0,0,0,5,1,2,2,2,2,2,2,2,1.666666667,0.666666667,1.2,1.5,2,2,1.177777778,151,22,Woman,2.9,3,5,3,4,5,5,0,0,4,0,5,0,5,3
570,0,100,135,Man,60.1,2,2,3,4,1,3,3,3,3,2,1,1,2,1,1,2,1,1,1,2.333333333,2.666666667,2.4,1.5,1,1.25,2.466666667,760,19,Man,2.85,4,3,5,3.5,4,3,2,0,4,0,1,0,3,4
47,0,100,75,Woman,41.04,4,2,4,3,1,1,1,1,1,1,1,-1,0,-1,0,0,-1,-1,-1,3.333333333,1.666666667,1,-0.5,-0.5,-0.75,2,625,18,Woman,2.824,5,5,4,1,4,5,0,0,2,2.24,1,5,1,1
340,0,100,224,Woman,137.068,3,2,4,5,5,5,5,4,2,1,3,0,-1,0,0,1,0,1,0,3,5,3,-0.5,0,0.5,3.666666667,156,44,Woman,2.75,5,4,5,1.5,5,5,2,0,0,0,0,5,1,2
376,0,100,157,Woman,81.283,3,2,4,3,3,4,1,2,2,0,2,2,2,0,-1,1,1,1,-1,3,3.333333333,1.4,2,-0.5,0.5,2.577777778,325,19,Woman,2.794948974,5,5,1,1.5,5,3,0,3,2,2.449489743,2,3,1,2
418,0,100,280,Woman,137.026,3,5,0,1,0,0,3,0,0,1,1,-1,0,-1,-1,1,0,0,1,2.666666667,0.333333333,1,-0.5,-1,0.5,1.333333333,222,18,Woman,2.766227766,5,5,2,2.5,2,1,4,0,3,3.16227766,5,2,0,5
434,0,100,144,Woman,62.39,5,0,2,4,4,4,4,4,4,4,4,2,2,2,0,2,2,2,2,2.333333333,4,4,2,1,2,3.444444444,39,19,Woman,2.8,4,5,0,4,5,4,1,0,4,1,1,1,5,3
459,0,100,161,Woman,100.541,3,1,2,4,1,3,4,1,3,2,2,1,1,0,2,1,2,2,-1,2,2.666666667,2.4,1,1,1,2.355555556,248,18,Woman,2.773205081,3,3,4,5,5,2,0,0,4,1.732050808,3,1,5,5
478,0,100,244,Man,106.121,1,1,0,0,0,0,0,0,0,2,0,-1,-1,-1,0,0,0,1,1,0.666666667,0,0.4,-1,-0.5,0.5,0.355555556,797,21,Man,2.75,4,4,3,4.5,5,4,1,0,2,0,2,0,5,4
625,0,100,299,Woman,93.494,0,0,0,3,0,1,0,0,0,0,0,1,0,1,-1,1,0,1,0,0,1.333333333,0,0.5,0,0.5,0.444444444,634,18,Woman,2.8,4,5,3,5,5,3,0,0,3,0,0,0,5,5
37,0,100,152,Man,73.32,1,1,3,5,3,4,1,0,1,1,3,0,-1,2,1,2,2,2,2,1.666666667,4,1.2,-0.5,1.5,2,2.288888889,528,21,Other/prefer not to say,2.697,5,4,1,2.5,5,3,0,0,2,4.47,5,4,1,4
214,0,100,122,Woman,67.571,2,0,3,4,3,4,4,3,3,3,2,1,0,0,1,1,1,1,1,1.666666667,3.666666667,3,0.5,0.5,1,2.777777778,633,19,Woman,2.65,5,5,3,0.5,5,4,1,0,3,0,4,0,1,0
232,0,100,177,Woman,65.845,4,4,3,4,0,0,5,0,0,4,3,1,0,2,-2,1,1,1,2,3.666666667,1.333333333,2.4,0.5,0,1.25,2.466666667,296,18,Woman,2.694948974,5,5,4,0.5,3,5,2,0,0,2.449489743,3,2,0,1
238,0,100,128,Man,70.482,1,1,0,3,1,0,0,0,0,0,0,1,1,-1,-2,1,1,-1,-1,0.666666667,1.333333333,0,1,-1.5,0,0.666666667,383,18,Man,2.723205081,5,4,1,3.5,5,3,2,0,2,1.732050808,3,1,3,4
252,0,100,185,Man,69.91,0,0,0,4,1,0,3,0,0,0,0,1,1,1,0,1,2,1,1,0,1.666666667,0.6,1,0.5,1.25,0.755555556,255,19,Man,2.65,5,4,3,1.5,5,5,0,0,3,0,5,0,1,2
290,0,100,129,Woman,55.108,0,0,0,3,2,1,0,0,0,0,0,-2,-1,-2,-1,-2,0,-1,-2,0,2,0,-1.5,-1.5,-1.25,0.666666667,636,18,Woman,2.723,2,4,2,3.5,3,4,2,3,2,1.73,3,1,4,3
305,0,100,229,Woman,121.885,1,1,0,2,1,1,4,2,5,3,2,0,0,-1,0,-1,1,2,2,0.666666667,1.333333333,3.2,0,-0.5,1,1.733333333,793,18,Woman,2.65,5,4,2,2.5,4,3,2,0,1,3,3,3,2,3
406,0,100,196,Woman,55.271,0,0,0,3,3,0,2,0,0,0,2,0,-2,2,1,2,-1,2,2,0,2,0.8,-1,1.5,1.25,0.933333333,317,18,Woman,2.7,5,3,1,3,5,3,0,5,2,0,0,5,2,4
423,0,100,201,Woman,113.289,3,3,1,1,1,1,3,1,1,0,3,1,1,2,1,0,1,2,2,2.333333333,1,1.6,1,1.5,1.25,1.644444444,157,19,Woman,2.732842713,3,5,3,3.5,4,4,0,0,2,2.828427125,2,4,3,4
503,0,100,117,Woman,62.638,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,0.8,1,0.5,1,0.266666667,143,19,Woman,2.696410162,4,4,2,3.5,2,4,0,0,4,3.464101615,3,4,4,3
518,0,100,136,Woman,71.221,3,3,2,4,4,5,3,2,1,1,1,1,-1,1,1,-1,-1,-1,-1,2.666666667,4.333333333,1.6,0,1,-1,2.866666667,285,19,Woman,2.65,4,4,3,2.5,3,3,3,2,2,0,0,5,3,2
537,0,100,82,Woman,40.79,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,1,1,1,3,219,18,Woman,2.7,4,3,2,3,3,4,0,5,3,0,0,4,3,3
577,0,100,135,Man,78.168,2,1,0,0,0,0,0,0,0,0,0,1,-1,0,0,1,-1,1,0,1,0,0,0,0,0.25,0.333333333,529,20,Man,2.65,4,5,3,0.5,5,4,1,0,4,0,3,0,1,0
69,0,100,132,Woman,68.854,0,0,3,2,1,1,3,0,0,1,3,0,1,1,1,1,1,1,1,1,1.333333333,1.4,0.5,1,1,1.244444444,552,18,Woman,2.55,4,5,3,0.5,4,4,0,0,3,2,1,4,1,0
157,0,100,328,Woman,177.434,0,0,2,0,0,0,2,0,1,0,0,-1,-1,-1,-1,0,1,0,0,0.666666667,0,0.6,-1,-1,0.25,0.422222222,565,43,Woman,2.55,5,4,3,1.5,5,5,1,0,1,0,3,0,2,1
207,0,100,198,Woman,90.095,1,1,0,3,3,3,2,1,1,1,2,-1,-1,1,1,2,2,2,1,0.666666667,3,1.4,-1,1,1.75,1.688888889,270,18,Woman,2.641421356,4,5,2,2,4,3,2,0,3,1.414213562,2,1,2,2
300,0,100,136,Woman,58.07,1,2,4,1,0,0,0,0,0,0,2,1,0,1,-1,0,1,1,1,2.333333333,0.333333333,0.4,0.5,0,0.75,1.022222222,486,18,Woman,2.597,5,3,3,1.5,3,4,0,0,2,4.47,5,4,1,2
366,0,100,309,Woman,133.066,0,0,1,4,4,3,2,0,0,0,0,1,2,0,-1,1,1,1,0,0.333333333,3.666666667,0.4,1.5,-0.5,0.75,1.466666667,28,18,Woman,2.566227766,5,4,2,2.5,4,3,0,0,2,3.16227766,5,2,2,3
463,0,100,212,Woman,130.72,0,0,0,3,0,0,0,0,0,0,0,-1,0,-1,-2,0,0,1,-1,0,1,0,-0.5,-1.5,0,0.333333333,189,19,Woman,2.623606798,3,5,2,2,5,4,0,0,3,2.236067977,5,1,2,2
474,0,100,247,Woman,96.801,2,1,2,4,4,2,4,4,3,3,3,1,1,2,1,2,2,1,1,1.666666667,3.333333333,3.4,1,1.5,1.5,2.8,126,18,Woman,2.6,4,2,3,3,3,4,0,1,2,4,4,4,3,3
544,0,100,120,Woman,72.855,0,2,0,4,3,3,4,0,0,0,0,1,1,1,1,2,1,1,2,0.666666667,3.333333333,0.8,1,1,1.5,1.6,18,19,Woman,2.55,4,3,2,1.5,4,4,0,0,2,5,5,5,1,2
623,0,100,173,Woman,102.02,3,0,0,3,0,5,0,0,0,0,0,1,0,0,0,1,1,1,1,1,2.666666667,0,0.5,0,1,1.222222222,547,20,Woman,2.6,5,3,3,5,2,4,1,0,3,0,5,0,5,5
675,0,100,183,Woman,88.279,1,0,3,2,5,3,0,0,0,3,2,-1,1,1,0,2,0,1,1,1.333333333,3.333333333,1,0,0.5,1,1.888888889,866,18,Woman,2.55,5,4,3,1.5,3,4,0,0,5,0,0,1,1,2
118,0,100,210,Woman,114.718,3,1,0,4,0,1,0,1,3,0,0,2,2,0,0,2,1,2,2,1.333333333,1.666666667,0.8,2,0,1.75,1.266666667,678,18,Woman,2.45,5,0,4,0.5,5,5,0,0,5,0,0,1,1,0
119,0,100,132,Woman,61.801,5,4,3,5,5,5,4,3,3,4,5,-2,-2,-2,-2,-2,-2,-2,-2,4,5,3.8,-2,-2,-2,4.266666667,526,18,Woman,2.5,4,3,4,3,4,3,0,0,4,0,5,0,1,5
190,0,100,577,Woman,127.783,2,2,3,4,0,0,3,0,0,0,0,1,1,0,-1,2,-1,0,1,2.333333333,1.333333333,0.6,1,-0.5,0.5,1.422222222,307,18,Woman,2.45,4,5,3,1.5,4,3,0,0,4,0,5,0,2,1
280,0,100,151,Woman,82.229,0,0,0,2,1,0,0,0,0,0,0,-1,-2,-1,-2,-1,-2,-1,-1,0,1,0,-1.5,-1.5,-1.25,0.333333333,746,18,Woman,2.5,5,4,2,2,3,4,3,0,2,0,0,5,1,3
281,0,100,435,Woman,260.394,0,1,0,4,2,0,3,1,2,0,4,-1,0,1,0,1,0,1,0,0.333333333,2,2,-0.5,0.5,0.5,1.444444444,867,20,Woman,2.45,3,2,4,3.5,5,3,0,0,4,0,0,5,3,4
299,0,100,130,Woman,59.337,0,1,0,0,0,0,0,0,1,0,0,-1,-1,0,-1,0,-1,0,0,0.333333333,0,0.2,-1,-0.5,-0.25,0.177777778,204,18,Woman,2.45,4,5,2,1.5,4,4,2,0,2,0,0,1,1,2
330,0,100,84,Woman,32.895,1,2,2,3,3,3,1,0,0,0,0,0,1,-1,-1,-2,1,1,1,1.666666667,3,0.2,0.5,-1,0.25,1.622222222,767,18,Woman,2.491,4,3,2,2.5,5,4,0,2,1,1.41,2,1,2,3
334,0,100,135,Woman,79.392,0,1,1,3,2,3,4,3,0,3,5,0,0,1,1,1,-1,2,2,0.666666667,2.666666667,3,0,1,1,2.111111111,91,18,Woman,2.5,5,4,1,2,5,4,0,0,2,2,1,4,2,2
398,0,100,112,Woman,62.689,1,0,0,2,0,2,0,0,0,0,0,-1,-2,-2,-1,0,-2,-2,-2,0.333333333,1.333333333,0,-1.5,-1.5,-1.5,0.555555555,497,20,Woman,2.5,3,5,2,2,4,4,0,0,3,2,1,4,3,1
452,0,100,190,Woman,108.428,1,2,4,5,4,3,4,2,0,3,1,0,1,1,-1,0,2,0,0,2.333333333,4,2,0.5,0,0.5,2.777777778,131,18,Woman,2.5,4,5,3,3,4,1,0,0,5,0,5,0,2,4
456,0,100,155,Woman,71.507,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.666666667,0,0.5,0.5,0.25,0.222222222,311,18,Woman,2.45,4,2,4,3.5,4,5,0,0,2,0,0,0,4,3
458,0,100,201,Prefer not to say,94.782,0,0,1,2,1,0,4,2,2,0,1,-2,0,-1,-2,1,0,-1,-2,0.333333333,1,1.8,-1,-1.5,-0.5,1.044444444,74,20,Other/prefer not to say,2.45,4,2,3,3.5,5,3,1,0,3,0,0,5,3,4
603,0,100,187,Woman,96.477,5,4,2,5,0,5,4,0,0,0,3,1,2,-1,-1,0,-2,0,-1,3.666666667,3.333333333,1.4,1.5,-1,-0.75,2.8,896,18,Woman,2.45,5,4,4,0.5,3,5,0,0,3,0,2,0,1,0
606,0,100,154,Woman,77.9,0,0,1,3,2,0,0,0,0,0,1,0,-1,1,0,0,-1,1,1,0.333333333,1.666666667,0.2,-0.5,0.5,0.25,0.733333333,2,18,Woman,2.45,5,4,2,1.5,4,5,0,0,3,0,0,3,2,1
641,0,100,166,Man,77.437,3,4,5,2,0,2,2,1,0,0,0,-1,0,0,-1,0,1,0,-1,4,1.333333333,0.6,-0.5,-0.5,0,1.977777778,890,21,Man,2.516,4,5,1,1,5,4,0,0,2,3.16,2,5,1,1
161,0,100,140,Woman,80.836,1,0,1,2,0,0,1,0,0,1,0,0,1,1,-1,1,0,1,1,0.666666667,0.666666667,0.4,0.5,0,0.75,0.577777778,741,20,Woman,2.35,4,5,2,2.5,3,4,0,0,1,2,4,1,1,4
177,0,100,131,Woman,63.721,0,0,1,1,1,1,2,1,0,0,1,0,0,1,1,2,2,1,1,0.333333333,1,0.8,0,1,1.5,0.711111111,592,19,Woman,2.387,4,3,2,0,4,4,0,0,3,3.87,5,3,0,0
199,0,100,89,Man,46.097,5,5,0,5,0,0,0,0,0,1,0,0,0,1,1,-1,-2,1,0,3.333333333,1.666666667,0.2,0,1,-0.5,1.733333333,680,18,Man,2.4,5,4,3,1,3,2,0,3,2,1,1,1,0,2
231,0,100,421,Woman,214.534,1,1,2,3,0,0,1,0,1,0,1,-1,0,-1,-2,1,-1,-1,1,1.333333333,1,0.6,-0.5,-1.5,0,0.977777778,235,19,Woman,2.394948974,5,5,0,2.5,4,3,0,0,2,2.449489743,3,2,1,4
269,0,100,170,Woman,72.948,0,0,0,3,0,0,1,0,0,0,2,1,1,0,2,1,1,1,1,0,1,0.6,1,1,1,0.533333333,586,18,Woman,2.374,3,4,2,3.5,5,3,0,0,1,2.24,5,1,4,3
285,0,100,202,Man,139.025,0,0,1,3,3,0,2,0,0,0,3,-2,-2,0,-2,2,0,0,-1,0.333333333,2,1,-2,-1,0.25,1.111111111,559,19,Man,2.35,4,4,0,4.5,5,4,0,0,2,0,0,5,5,4
288,0,100,183,Woman,119.435,1,1,0,4,0,1,2,0,0,0,0,1,1,1,1,0,0,1,1,0.666666667,1.666666667,0.4,1,1,0.5,0.911111111,9,18,Woman,2.373606798,3,4,4,2.5,2,3,1,0,2,2.236067977,5,1,3,2
368,0,100,299,Woman,176.803,1,1,1,2,1,1,0,0,0,0,0,-1,-2,-1,-2,-2,1,-1,-1,1,1.333333333,0,-1.5,-1.5,-0.75,0.777777778,722,18,Woman,2.397,4,3,1,1.5,4,4,0,0,2,4.47,4,5,1,2
382,0,100,111,Woman,50.492,2,2,3,2,2,2,1,4,4,4,3,1,1,1,0,-1,1,2,0,2.333333333,2,3.2,1,0.5,0.5,2.511111111,86,18,Woman,2.4,3,4,2,2,4,4,0,0,3,2,2,2,2,2
391,0,100,127,Prefer not to say,68.62,0,0,0,4,0,4,0,0,0,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,2.666666667,0,-2,-2,-2,0.888888889,358,19,Other/prefer not to say,2.4,4,4,4,0,5,2,0,0,0,5,5,5,0,0
411,0,100,214,Woman,99.039,0,0,0,2,0,0,1,1,1,0,0,-1,-2,-2,-2,-1,-1,-1,-1,0,0.666666667,0.6,-1.5,-2,-1,0.422222222,411,19,Woman,2.423205081,5,4,1,1.5,3,4,0,0,4,1.732050808,3,1,1,2
422,0,100,151,Woman,75.121,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1,2,0.333333333,0.666666667,0.2,1,0,1,0.4,813,18,Woman,2.4,3,4,4,2,4,3,0,0,1,3,3,3,2,2
469,0,100,179,Woman,114.3,3,2,0,4,2,3,0,0,0,0,0,1,1,-1,1,-1,1,-1,-2,1.666666667,3,0,1,0,-0.75,1.555555556,113,18,Woman,2.441421356,5,3,3,3,4,2,1,0,2,1.414213562,2,1,4,2
496,0,100,123,Woman,51.601,1,1,1,1,1,1,1,1,1,1,1,0,0,-1,-2,0,0,1,1,1,1,1,0,-1.5,0.5,1,639,20,Woman,2.35,4,5,4,0.5,5,3,0,0,2,0,0,5,0,1
514,0,100,261,Woman,140.597,0,0,0,0,0,0,5,2,0,0,3,2,2,0,-2,2,0,1,1,0,0,2,2,-1,1,0.666666667,598,23,Woman,2.445,3,4,2,4,3,4,0,0,2,2.45,2,3,3,5
517,0,100,209,Woman,93.062,0,0,0,3,1,2,2,0,0,1,0,-1,1,0,0,-1,-1,-2,-2,0,2,0.6,0,0,-1.5,0.866666667,190,19,Woman,2.35,5,4,3,1.5,3,3,1,0,3,0,4,0,2,1
529,0,100,56,Woman,27.767,0,4,1,3,3,2,4,3,3,3,3,-1,1,-1,2,2,-1,1,-1,1.666666667,2.666666667,3.2,0,0.5,0.25,2.511111111,148,18,Woman,2.423606798,3,4,5,2,2,3,0,0,3,2.236067977,1,5,1,3
575,0,100,139,Woman,82.063,0,0,2,3,2,0,4,1,0,1,3,1,2,1,0,2,2,2,2,0.666666667,1.666666667,1.8,1.5,0.5,2,1.377777778,895,18,Woman,2.35,4,3,2,2.5,5,4,0,0,3,0,0,0,2,3
580,0,100,332,Woman,144.478,0,2,0,5,1,2,4,0,2,0,4,0,1,1,0,2,1,1,1,0.666666667,2.666666667,2,0.5,0.5,1.25,1.777777778,400,18,Woman,2.4,4,5,1,0,5,4,2,0,3,0,5,0,0,0
583,0,100,299,Woman,190.657,0,0,0,0,0,0,3,3,4,0,1,0,0,1,1,2,1,1,2,0,0,2.2,0,1,1.5,0.733333333,466,20,Woman,2.35,4,3,5,2.5,3,1,0,1,4,0,0,4,2,3
586,0,100,192,Woman,116.641,0,2,3,1,0,0,4,1,0,0,4,1,0,1,-2,-2,1,2,-1,1.666666667,0.333333333,1.8,0.5,-0.5,0,1.266666667,801,19,Woman,2.423,5,5,2,0.5,5,3,0,0,2,1.73,1,3,1,0
647,0,100,186,Woman,113.54,0,0,0,3,4,4,3,2,2,0,0,0,0,0,0,0,0,1,1,0,3.666666667,1.4,0,0,0.5,1.688888889,645,19,Woman,2.35,4,2,3,2.5,3,4,0,0,5,0,0,5,2,3
23,0,100,144,Woman,81.349,0,0,0,1,0,0,1,0,1,0,0,0,0,-1,-1,-1,1,-1,0,0,0.333333333,0.4,0,-1,-0.25,0.244444444,454,18,Woman,2.25,5,4,2,2.5,5,3,0,0,1,0,0,5,2,3
26,0,100,291,Woman,186.966,2,2,0,3,0,2,5,5,0,0,5,2,2,1,2,2,2,2,2,1.333333333,1.666666667,3,2,1.5,2,2,651,18,Woman,2.3,4,4,1,4,4,4,1,0,1,0,0,5,3,5
68,0,100,142,Man,68.135,3,1,0,0,0,0,3,0,0,4,0,1,1,-2,-2,-2,1,-2,-2,1.333333333,0,1.4,1,-2,-1.25,0.911111111,516,18,Man,2.3,5,5,0,2,3,5,0,0,3,0,0,0,1,3
120,0,100,85,Woman,36.543,2,2,2,0,0,0,1,0,0,0,1,-1,-1,-2,-2,-2,-2,2,2,2,0,0.4,-1,-2,0,0.8,503,18,Woman,2.347,4,1,0,3,4,3,0,0,4,4.47,5,4,3,3
181,0,100,184,Woman,91.497,3,1,0,4,2,1,3,2,1,2,0,-1,-1,-2,-1,-1,-2,-1,-1,1.333333333,2.333333333,1.6,-1,-1.5,-1.25,1.755555555,489,18,Woman,2.283,3,2,1,3,4,3,1,0,3,2.83,4,2,3,3
204,0,100,242,Woman,160.477,0,1,0,0,0,0,3,4,4,4,4,0,0,1,1,1,2,2,2,0.333333333,0,3.8,0,1,1.75,1.377777778,318,20,Woman,2.337298335,0,4,3,4.5,4,3,0,0,1,3.872983346,3,5,5,4
298,0,100,157,Woman,76.505,1,0,1,4,3,4,5,2,2,1,3,-1,-1,1,0,1,2,2,1,0.666666667,3.666666667,2.6,-1,0.5,1.5,2.311111111,525,18,Woman,2.25,4,4,2,3.5,2,3,0,0,4,0,5,0,3,4
367,0,100,114,Woman,50.441,2,0,2,4,0,0,0,0,0,0,2,1,2,-1,-1,-1,1,0,0,1.333333333,1.333333333,0.4,1.5,-1,0,1.022222222,326,18,Woman,2.25,5,3,4,2.5,3,0,0,0,3,2,4,1,2,3
381,0,100,394,Woman,187.174,0,0,0,2,1,1,3,1,1,1,2,0,0,0,0,1,0,1,1,0,1.333333333,1.6,0,0,0.75,0.977777778,742,20,Woman,2.274,4,4,1,2.5,2,4,0,0,3,2.24,5,1,2,3
387,0,100,557,Woman,465.154,0,0,0,3,3,0,3,0,0,5,5,-2,-2,1,0,2,1,2,2,0,2,2.6,-2,0.5,1.75,1.533333333,766,19,Woman,2.3,5,5,0,1,5,3,0,0,4,0,0,5,2,0
433,0,100,259,Woman,138.284,1,2,1,3,3,3,4,2,1,3,0,1,1,0,1,0,1,2,1,1.333333333,3,2,1,0.5,1,2.111111111,286,19,Woman,2.294948974,5,5,1,0.5,4,2,1,0,2,2.449489743,2,3,1,0
476,0,100,223,Woman,147.362,3,1,1,4,4,3,5,3,2,3,1,2,2,0,1,2,0,1,1,1.666666667,3.666666667,2.8,2,0.5,1,2.711111111,692,18,Woman,2.274,5,4,0,2.5,4,4,0,0,1,2.24,1,5,2,3
486,0,100,204,Woman,104.276,3,1,1,3,2,1,4,1,0,4,1,1,0,-1,-1,2,1,2,1,1.666666667,2,2,0.5,-1,1.5,1.888888889,265,19,Woman,2.266227766,4,5,1,1.5,3,3,0,0,2,3.16227766,5,2,2,1
488,0,100,149,Woman,80.57,5,5,2,5,4,4,5,4,3,3,4,2,1,0,1,2,1,1,1,4,4.333333333,3.8,1.5,0.5,1.25,4.044444444,726,19,Woman,2.25,4,4,3,1.5,4,4,0,0,2,0,1,0,2,1
513,0,100,217,Another,117.046,1,3,0,0,0,0,0,0,0,0,3,2,1,1,1,-1,-1,0,-2,1.333333333,0,0.6,1.5,1,-1,0.644444444,426,18,Other/prefer not to say,2.3,5,0,5,4,5,4,0,0,0,0,5,0,4,4
523,0,100,162,Man,70.958,0,0,0,0,0,0,0,0,0,0,0,0,-2,-2,-2,0,-2,0,0,0,0,0,-1,-2,-0.5,0,784,19,Man,2.25,5,3,2,3.5,1,3,2,0,0,3,3,3,4,3
535,0,100,119,Woman,46.111,0,0,0,1,1,0,0,0,0,0,0,-1,-1,0,-1,-1,0,-2,-2,0,0.666666667,0,-1,-0.5,-1.25,0.222222222,628,20,Woman,2.3,4,5,0,2,4,5,0,0,1,2,1,4,1,3
564,0,100,174,Woman,82.608,1,1,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,0,0,0.666666667,0,0,1,-1,-0.5,0.222222222,310,18,Woman,2.3,4,4,3,2,4,3,0,0,3,0,0,3,1,3
