,Progress,Duration (in seconds),Finished,Q3,Q49,Q4,Q5,Q6,Q14_Page Submit,Flow questionnaire 1_1,Flow questionnaire 1_2,Flow questionnaire 1_3,Flow questionnaire 1_4,Flow questionnaire 1_5,Flow questionnaire 1_6,Flow questionnaire 1_7,Flow questionnaire 1_8,Flow questionnaire 1_9,Flow questionnaire 1_10,Flow questionnaire 2_1,Flow questionnaire 2_2,Flow questionnaire 2_3,Flow questionnaire 2_4,Flow questionnaire 2_5,Flow questionnaire 2_6,Flow questionnaire 2_7,Flow questionnaire 2_8,Flow questionnaire 2_9,Flow questionnaire 2_10,Flow questionnaire 3_1,Flow questionnaire 3_2,Flow questionnaire 3_3,Flow questionnaire 3_4,Flow questionnaire 3_5,Flow questionnaire 3_6,Flow questionnaire 3_7,Flow questionnaire 3_8,Flow questionnaire 3_9,Flow questionnaire 3_10,Flow_vacuuming,Flow_essay_writing,Flow_exercise,Flow_combined,CODE,age,gender,PCSscore,1handlowersubj,2handtogethersubj,3mosquitosubj,4TasteAverage,5rigidsubj,6immobilizationsubj,7musicsubj,8ballssubj,9amnesiasubj,10spaceGeoMean,10spacebarsubj1,10spacebarsubj2,4Tastesweetsubj,4Tastesoursubj
667,100,224,1,1,1,1,18,Prefer not to say,163.688,2,1,2,2,2,2,3,3,2,3,4,4,4,4,3,4,3,3,4,4,2,1,2,2,2,2,2,2,2,1,2.2,3.7,1.8,2.566666667,20,18,Other/prefer not to say,1.3,4,0,1,2,3,2,0,0,1,0,5,0,1,3
320,100,161,1,1,1,1,18,Woman,141.9,2,1,4,3,3,2,1,1,1,2,2,4,4,4,4,5,5,4,5,4,5,5,5,5,4,5,5,5,5,5,2,4.1,4.9,3.666666667,23,18,Woman,1.873606798,3,3,1,1.5,3,2,0,0,3,2.236067977,1,5,1,2
544,100,124,1,1,1,1,18,Woman,84.668,2,2,3,4,4,1,4,1,3,2,1,1,1,2,1,1,2,1,2,1,4,3,4,5,5,4,5,5,4,5,2.6,1.3,4.4,2.766666667,24,18,Woman,1.7,4,4,1,2,4,2,0,0,0,0,5,0,2,2
665,100,386,1,1,1,1,19,Man,364.47,3,4,4,4,4,4,4,1,3,3,4,3,4,3,3,4,4,3,4,4,4,4,4,4,3,3,4,2,3,4,3.4,3.6,3.5,3.5,27,19,Man,0.6,2,1,0,0,3,0,0,0,0,0,0,5,0,0
599,100,188,1,1,1,1,18,Woman,159.377,5,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4.8,4.6,5,4.8,30,18,Woman,2.123205081,5,5,0,2.5,4,2,0,0,1,1.732050808,3,1,3,2
89,100,221,1,1,1,1,18,Man,175.891,4,3,3,3,3,3,3,1,2,4,3,3,3,3,3,2,4,2,3,2,4,5,5,5,5,5,5,5,5,4,2.9,2.8,4.8,3.5,34,18,Man,0.75,4,1,0,1.5,1,0,0,0,0,0,1,0,1,2
464,100,154,1,1,1,1,19,Woman,134.642,1,0,1,4,2,1,4,4,4,4,4,1,4,4,4,4,5,5,4,5,3,1,2,3,3,3,4,4,3,2,2.5,4,2.8,3.1,35,19,Woman,1.85,4,4,1,0.5,4,5,0,0,0,0,0,0,0,1
545,100,182,1,1,1,1,18,Woman,103.248,5,3,4,5,5,5,4,2,4,5,4,4,3,5,2,4,4,0,4,3,4,4,4,4,4,4,4,4,4,5,4.2,3.3,4.1,3.866666667,43,18,Woman,1.846410162,4,3,0,3,3,1,0,0,1,3.464101615,4,3,2,4
218,100,152,1,1,1,1,18,Man,137.467,4,3,3,3,3,3,3,2,3,2,5,2,3,4,5,4,2,5,3,2,2,2,3,4,4,4,3,1,2,2,2.9,3.5,2.7,3.033333333,44,18,Man,1.25,4,3,3,0.5,2,0,0,0,0,0,5,0,0,1
620,100,155,1,1,1,1,18,Woman,118.084,3,2,4,4,4,4,4,3,4,4,3,3,4,5,4,5,5,4,4,5,4,4,4,5,4,5,4,5,4,5,3.6,4.2,4.4,4.066666667,45,18,Woman,1.5,4,4,1,1,2,3,0,0,0,0,2,0,1,1
374,100,97,1,1,1,1,18,Woman,76.133,4,4,4,3,5,5,4,5,3,3,5,4,5,4,4,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,4,4.4,5,4.466666667,46,18,Woman,1.723205081,5,4,0,0.5,4,1,0,0,1,1.732050808,3,1,1,0
316,100,94,1,1,1,1,18,Woman,77.973,4,3,4,4,4,4,4,3,4,4,2,2,3,3,2,3,3,1,2,2,4,4,4,4,4,4,4,4,4,4,3.8,2.3,4,3.366666667,47,18,Woman,1.3,3,1,0,2,3,0,0,0,2,2,2,2,3,1
202,100,148,1,1,1,1,19,Woman,118.579,0,0,0,1,1,1,1,0,0,1,2,2,3,2,2,3,3,4,3,4,1,0,0,1,1,2,2,1,1,2,0.5,2.8,1.1,1.466666667,48,19,Woman,1.5,2,1,4,4,1,3,0,0,0,0,1,0,4,4
400,100,126,1,1,1,1,20,Woman,99.3,2,1,3,4,3,2,3,0,2,3,3,2,4,4,3,3,3,2,3,4,3,3,4,4,4,4,4,4,3,5,2.3,3.1,3.8,3.066666667,51,20,Woman,1.147213596,3,1,0,0,2,1,0,0,0,4.472135955,4,5,0,0
423,100,125,1,1,1,1,18,Woman,89.767,0,0,1,1,1,0,1,0,0,2,2,2,4,4,4,3,4,4,2,4,3,1,3,3,4,3,4,4,3,4,0.6,3.3,3.2,2.366666667,52,18,Woman,2.2,5,4,1,1,5,4,0,0,2,0,5,0,0,2
321,100,308,1,1,1,1,18,Woman,273.992,0,0,1,2,0,0,0,0,2,1,2,5,5,5,3,4,5,1,5,5,2,0,4,5,4,4,4,1,5,4,0.6,4,3.3,2.633333333,53,18,Woman,1,4,2,0,0,1,1,0,0,2,0,3,0,0,0
206,100,308,1,1,1,1,21,Woman,97.789,4,4,4,5,5,4,5,4,5,5,3,2,3,4,2,2,3,2,3,3,4,4,4,4,4,4,4,4,4,4,4.5,2.7,4,3.733333333,56,21,Woman,2.1,5,5,4,0,3,3,0,0,1,0,3,0,0,0
315,100,246,1,1,1,1,18,Woman,161.802,0,2,3,3,4,2,5,3,3,3,1,1,2,3,2,3,4,2,3,2,4,3,4,5,3,4,5,3,4,2,2.8,2.3,3.7,2.933333333,57,18,Woman,1.95,4,3,0,1.5,4,2,1,0,4,0,3,0,2,1
426,100,194,1,1,1,1,19,Woman,175.285,3,2,5,4,4,4,5,1,4,3,5,5,5,5,3,4,5,1,3,3,4,5,4,3,3,4,5,1,4,3,3.5,3.9,3.6,3.666666667,58,19,Woman,2.794948974,4,5,1,2.5,5,4,1,0,3,2.449489743,3,2,1,4
159,100,128,1,1,1,1,18,Woman,113.199,0,0,1,0,0,0,0,0,0,0,5,5,5,5,5,5,4,3,4,3,3,3,3,4,4,4,4,4,4,3,0.1,4.4,3.6,2.7,59,18,Woman,2.1,3,4,2,2,5,4,0,0,1,0,5,0,1,3
118,100,173,1,1,1,1,18,Woman,129.914,1,1,2,3,1,1,4,3,2,1,3,4,4,4,3,3,4,4,3,3,5,5,4,4,5,5,3,3,4,5,1.9,3.5,4.3,3.233333333,61,18,Woman,2.873606798,4,5,1,3.5,5,4,1,0,3,2.236067977,5,1,4,3
634,100,120,1,1,1,1,18,Woman,88.856,2,2,2,2,2,2,3,1,2,2,3,2,2,3,2,3,2,2,3,2,3,2,2,3,3,3,3,4,4,4,2,2.4,3.1,2.5,62,18,Woman,3.1,5,4,2,3,4,5,0,5,3,0,0,4,2,4
527,100,168,1,1,1,1,19,Other,102.906,2,2,2,2,4,3,2,1,2,2,4,5,5,5,4,5,5,2,4,5,5,4,5,5,5,5,5,2,4,5,2.2,4.4,4.5,3.7,63,19,Non-binary,1.85,5,3,0,2.5,4,2,0,0,2,0,5,0,3,2
565,100,301,1,1,1,1,19,Woman,199.108,1,0,3,3,4,3,3,0,1,1,4,3,4,4,3,4,5,0,3,4,3,1,2,3,4,3,3,0,1,1,1.9,3.4,2.1,2.466666667,65,19,Woman,1.75,5,2,2,0.5,2,3,0,0,3,0,5,0,0,1
410,100,181,1,1,1,1,18,Woman,142.767,4,3,4,4,3,3,4,2,3,3,5,4,5,5,5,5,4,4,5,4,4,5,4,5,5,5,5,5,5,3,3.3,4.6,4.6,4.166666667,66,18,Woman,1,4,3,0,0,1,1,0,0,1,0,2,0,0,0
452,100,154,1,1,1,1,19,Woman,123.587,3,0,4,3,4,3,3,0,1,3,5,3,5,5,5,5,5,5,5,5,4,3,5,5,5,5,5,4,5,4,2.4,4.8,4.5,3.9,68,19,Woman,1.05,4,1,1,1.5,1,1,0,0,1,0,0,5,1,2
467,100,579,1,1,1,1,18,Woman,215.953,3,2,3,2,3,3,1,1,2,3,3,2,2,2,3,3,3,1,2,2,3,3,3,3,3,2,3,2,3,4,2.3,2.3,2.9,2.5,72,18,Woman,0.95,3,2,0,0.5,2,0,0,0,2,0,5,0,0,1
397,100,138,1,1,1,1,20,Other,107.203,1,1,1,4,3,0,1,0,2,2,4,3,4,5,4,5,5,2,3,5,5,2,4,5,5,4,5,5,3,4,1.5,4,4.2,3.233333333,74,20,Other/prefer not to say,2.45,4,2,3,3.5,5,3,1,0,3,0,0,5,3,4
238,100,80,1,1,1,1,19,Woman,64.056,1,0,1,1,0,0,0,0,0,0,4,3,4,5,4,5,5,4,5,5,4,4,4,5,4,4,5,5,4,4,0.3,4.4,4.3,3,79,19,Woman,2.1,5,4,4,1,1,3,0,1,2,0,0,0,0,2
505,100,99,1,1,1,1,18,Woman,75.982,2,0,1,3,3,2,1,0,1,1,2,3,4,4,4,4,4,4,4,3,3,3,3,3,2,3,2,2,3,2,1.4,3.6,2.6,2.533333333,82,18,Woman,1.3,2,1,0,3,5,2,0,0,0,0,2,0,3,3
450,100,131,1,1,1,1,19,Woman,107.778,2,1,1,2,2,2,2,0,2,2,3,4,3,4,3,4,3,1,4,3,1,0,0,1,1,0,0,0,1,0,1.6,3.2,0.4,1.733333333,84,19,Woman,1.8,4,4,1,2,2,3,0,0,2,0,3,0,2,2
198,100,134,1,1,1,1,18,Woman,109.553,2,1,0,0,4,1,0,0,0,0,3,2,4,5,3,3,5,3,2,2,2,2,3,2,4,4,2,3,2,4,0.8,3.2,2.8,2.266666667,85,18,Woman,0.2,0,1,0,0,0,0,1,0,0,0,5,0,0,0
305,100,88,1,1,1,1,18,Woman,72.68,3,2,2,2,3,3,2,0,0,1,2,1,2,3,2,2,2,0,1,1,4,3,3,3,3,3,3,1,1,2,1.8,1.6,2.6,2,86,18,Woman,2.4,3,4,2,2,4,4,0,0,3,2,2,2,2,2
325,100,221,1,1,1,1,19,Woman,195.814,2,0,0,1,0,0,2,0,0,1,2,1,2,2,1,2,2,3,0,3,3,2,3,4,4,4,3,3,4,4,0.6,1.8,3.4,1.933333333,90,18,Woman,2.6,2,1,3,3,5,4,5,0,3,0,5,0,4,2
257,100,198,1,1,1,1,18,Woman,181.092,3,0,1,3,3,2,3,1,3,1,4,5,4,4,3,4,4,1,5,4,4,3,3,4,4,4,3,5,4,4,2,3.8,3.8,3.2,91,18,Woman,2.5,5,4,1,2,5,4,0,0,2,2,1,4,2,2
364,100,94,1,1,1,1,69,Other,48.201,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.333333333,94,19,Man,0.6,2,3,0,0,1,0,0,0,0,0,3,0,0,0
333,100,159,1,1,1,1,19,Other,135.98,1,2,2,3,2,1,2,1,2,2,3,4,4,4,3,4,4,4,3,5,5,3,4,4,3,5,3,4,2,4,1.8,3.8,3.7,3.1,95,19,Non-binary,1.9,4,3,4,0,2,2,4,0,0,0,0,3,0,0
132,100,97,1,1,1,1,18,Woman,75.437,2,0,2,2,4,3,3,2,3,2,4,4,4,4,2,3,4,3,4,4,5,2,5,4,4,5,5,2,4,3,2.3,3.6,3.9,3.266666667,96,18,Woman,2.073606798,5,3,3,1.5,4,2,0,0,0,2.236067977,5,1,0,3
431,100,186,1,1,1,1,18,Woman,125.906,3,2,4,5,5,2,4,1,5,1,5,5,4,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,5,2,3.2,4.9,4.3,4.133333333,97,18,Woman,2.1,4,3,1,2,5,3,2,0,1,0,5,0,3,1
498,100,183,1,1,1,1,20,Other,137.391,1,1,4,4,5,4,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3.5,5,5,4.5,98,20,Non-binary,2.05,4,5,3,2.5,3,3,0,0,0,0,5,0,1,4
447,100,150,1,1,1,1,18,Man,115.888,3,2,4,4,3,3,4,1,4,3,4,4,4,5,4,4,4,2,3,3,4,2,2,3,2,3,3,3,3,2,3.1,3.7,2.7,3.166666667,99,18,Man,1.05,4,3,0,0.5,2,1,0,0,0,0,0,0,1,0
278,100,110,1,1,1,1,19,Woman,92.45,3,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,5,3,5,4,4,3,4,4,4,4,4,2,4,4,4,4.7,3.7,4.133333333,102,19,Woman,2,5,4,0,2,4,2,0,0,3,0,0,5,2,2
441,100,177,1,1,1,1,18,Woman,162.599,4,2,2,4,3,2,3,1,3,2,4,4,5,4,3,4,2,1,1,5,2,0,3,3,3,2,2,2,1,2,2.6,3.3,2,2.633333333,104,18,Woman,1.623606798,5,2,0,0,5,2,0,0,0,2.236067977,5,1,0,0
408,100,162,1,1,1,1,18,Woman,87.051,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.4,106,18,Woman,1.523205081,3,1,0,1.5,3,4,0,0,1,1.732050808,3,1,2,1
137,100,147,1,1,1,1,18,Woman,124.899,0,0,1,1,0,0,0,0,1,1,1,2,2,3,1,2,3,1,2,3,1,0,1,2,1,3,1,0,3,0,0.4,2,1.2,1.2,107,18,Woman,1.373205081,5,2,0,0,3,2,0,0,0,1.732050808,3,1,0,0
131,100,265,1,1,1,1,20,Woman,236.391,2,0,3,3,5,4,4,0,1,4,4,3,4,4,5,3,2,4,2,4,5,3,4,5,5,4,5,1,2,4,2.6,3.5,3.8,3.3,108,20,Woman,1.1,3,4,0,0,3,1,0,0,0,0,0,0,0,0
161,100,163,1,1,1,1,18,Woman,121.373,3,0,2,3,4,1,4,0,0,2,4,2,3,4,5,4,4,4,3,3,4,3,4,4,5,5,5,4,4,3,1.9,3.6,4.1,3.2,109,18,Woman,2.223205081,4,4,1,2.5,5,2,0,0,2,1.732050808,3,1,3,2
629,100,170,1,1,1,1,18,Woman,143.331,2,0,3,4,1,3,2,0,1,3,4,4,5,5,3,4,2,1,5,5,2,0,2,3,2,4,1,0,4,5,1.9,3.8,2.3,2.666666667,111,18,Woman,1.85,5,5,0,1.5,5,2,0,0,0,0,0,5,2,1
119,100,160,1,1,1,1,19,Woman,127.276,5,4,5,5,4,3,5,3,5,5,4,4,3,3,2,3,4,2,4,4,5,5,5,5,4,5,5,5,5,5,4.4,3.3,4.9,4.2,112,19,Woman,2.15,3,5,2,2.5,5,4,0,0,0,0,2,0,2,3
124,100,139,1,1,1,1,18,Man,110.803,0,0,1,0,3,1,0,0,0,1,4,4,4,4,4,4,3,1,3,4,4,3,4,4,2,4,4,3,3,4,0.6,3.5,3.5,2.533333333,117,18,Man,1,2,0,0,3,3,2,0,0,0,0,1,0,4,2
380,100,127,1,1,1,1,18,Woman,96.779,2,2,2,2,3,2,3,3,4,2,4,4,4,3,3,4,4,3,4,3,1,1,1,2,2,2,1,2,2,1,2.5,3.6,1.5,2.533333333,120,18,Woman,1.65,4,2,0,2.5,3,3,0,0,2,0,0,0,3,2
116,100,190,1,1,1,1,27,Woman,164.681,3,0,4,4,2,2,4,1,2,3,5,4,5,5,5,5,5,3,5,5,5,4,4,5,5,4,4,5,5,5,2.5,4.7,4.6,3.933333333,123,27,Woman,1.7,4,4,0,1,3,2,0,0,3,0,0,3,0,2
113,100,110,1,1,1,1,19,Woman,77.101,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.9,5,4.966666667,124,19,Woman,3.716227766,5,4,4,4,5,5,3,0,4,3.16227766,5,2,4,4
546,100,88,1,1,1,1,19,Woman,67.641,4,4,4,3,2,3,4,1,3,3,4,3,5,5,2,4,4,1,4,3,4,2,3,5,5,4,4,1,4,4,3.1,3.5,3.6,3.4,125,19,Woman,2.05,5,4,1,1.5,3,2,0,0,4,0,5,0,3,0
415,100,133,1,1,1,1,18,Woman,113.301,1,1,1,1,4,3,2,1,2,0,2,2,1,1,2,2,3,0,1,1,3,1,2,2,1,2,1,2,3,3,1.6,1.5,2,1.7,126,18,Woman,2.6,4,2,3,3,3,4,0,1,2,4,4,4,3,3
511,100,97,1,1,1,1,18,Woman,75.273,3,1,1,1,0,0,0,3,3,1,2,0,0,3,3,3,3,0,3,1,3,3,3,3,3,3,4,4,3,3,1.3,1.8,3.2,2.1,127,18,Woman,1.423205081,2,2,0,0.5,2,2,0,0,4,1.732050808,3,1,1,0
117,100,146,1,1,1,1,18,Woman,101.445,1,0,0,0,1,0,1,2,0,3,2,0,2,2,1,1,3,0,1,2,3,1,2,4,3,4,2,3,4,2,0.8,1.4,2.8,1.666666667,129,18,Woman,1.15,2,0,2,0.5,0,3,3,0,1,0,5,0,0,1
575,100,95,1,1,1,1,19,Man,75.194,4,2,3,2,0,0,1,0,3,3,5,5,3,3,1,2,3,4,4,1,1,2,5,0,0,1,0,0,4,4,1.8,3.1,1.7,2.2,132,19,Man,1.1,4,4,0,0,2,1,0,0,0,0,0,2,0,0
67,100,164,1,1,1,1,18,Woman,144.036,1,1,2,3,2,4,4,0,4,2,5,3,5,5,3,4,5,2,5,5,2,2,2,2,1,2,2,0,2,0,2.3,4.2,1.5,2.666666667,133,18,Woman,1.8,5,5,0,1,5,2,0,0,0,0,4,0,1,1
331,100,259,1,1,1,1,20,Woman,217.818,4,1,3,3,4,4,4,1,3,3,3,1,2,2,1,2,1,1,1,1,4,3,3,3,3,3,4,1,2,2,3,1.5,2.8,2.433333333,135,20,Woman,0.95,2,2,0,0.5,1,1,0,0,1,2,1,4,0,1
74,100,410,1,1,1,1,18,Woman,382.009,2,0,2,3,3,2,3,0,1,0,2,2,3,4,4,4,3,1,3,2,1,1,2,4,4,3,3,1,1,2,1.6,2.8,2.2,2.2,136,18,Woman,2.05,4,3,1,2.5,4,4,0,0,2,0,5,0,2,3
65,100,128,1,1,1,1,19,Woman,107.545,2,1,3,3,3,2,3,0,3,1,4,3,4,5,4,5,4,2,5,4,1,1,3,4,4,3,3,1,4,2,2.1,4,2.6,2.9,140,19,Woman,1.25,4,3,2,3.5,0,0,0,0,0,0,3,0,3,4
483,100,169,1,1,1,1,19,Woman,139.685,2,1,4,3,3,2,4,1,2,2,2,1,3,4,4,4,2,1,2,3,4,3,4,4,4,4,4,1,5,3,2.4,2.6,3.6,2.866666667,142,19,Woman,2.2,4,3,0,2,2,4,0,0,4,3,3,3,1,3
349,100,218,1,1,1,1,19,Woman,148.499,1,0,2,2,2,2,2,1,2,1,3,3,4,4,4,4,4,3,3,3,1,1,3,3,3,3,2,4,3,4,1.5,3.5,2.7,2.566666667,144,19,Woman,2.15,3,4,3,2.5,4,3,0,0,2,0,0,4,2,3
583,100,195,1,1,1,1,18,Woman,137.243,2,0,2,1,2,1,2,1,2,1,2,1,2,4,3,3,4,3,4,4,2,1,2,3,3,3,3,2,3,2,1.4,3,2.4,2.266666667,146,18,Woman,2,5,4,0,0,3,1,0,0,4,3,3,3,0,0
493,100,195,1,1,1,1,18,Woman,107.568,4,3,4,4,5,3,5,1,5,5,5,4,5,5,5,3,3,5,2,5,3,5,2,3,4,4,4,3,5,2,3.9,4.2,3.5,3.866666667,148,18,Woman,2.423606798,3,4,5,2,2,3,0,0,3,2.236067977,1,5,1,3
109,100,212,1,1,1,1,20,Woman,180.846,3,2,2,3,3,2,3,1,2,1,3,3,3,4,3,4,4,1,4,4,4,3,3,4,4,4,4,2,4,3,2.2,3.3,3.5,3,149,20,Woman,1.5,3,1,2,1,4,2,0,0,0,2,2,2,1,1
208,100,248,1,1,1,1,19,Woman,172.945,1,1,3,3,3,2,3,0,0,3,5,4,4,4,4,3,4,0,2,3,5,4,5,5,5,5,5,5,5,5,1.9,3.3,4.9,3.366666667,154,19,Woman,1.4,3,3,2,2,2,2,0,0,0,0,5,0,2,2
262,100,196,1,1,1,1,44,Woman,172.301,3,0,4,3,2,3,2,0,2,4,4,3,5,5,3,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,2.3,4.2,5,3.833333333,156,44,Woman,2.75,5,4,5,1.5,5,5,2,0,0,0,0,5,1,2
86,100,150,1,1,1,1,18,Woman,117.759,3,1,3,4,3,2,3,2,3,2,4,2,3,3,3,3,3,3,3,2,4,4,5,5,5,5,4,4,4,5,2.6,2.9,4.5,3.333333333,158,18,Woman,2,4,4,2,0,3,4,0,0,1,2,1,4,0,0
335,100,269,1,1,1,1,19,Man,227.97,1,0,1,1,2,0,1,0,1,0,5,4,5,5,5,5,5,3,5,5,3,2,4,4,3,4,3,2,4,4,0.7,4.7,3.3,2.9,160,19,Man,0.95,2,3,1,1.5,1,1,0,0,0,0,4,0,1,2
649,100,144,1,1,1,1,19,Woman,115.192,3,1,3,3,2,1,3,2,2,2,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,3,4,3,3,2.2,3.7,3.3,3.066666667,163,18,Woman,1.7,4,4,0,2,3,3,0,0,1,0,5,0,2,2
307,100,90,1,1,1,1,19,Woman,54.12,2,2,1,2,3,2,3,0,2,3,4,4,3,4,5,4,3,4,4,3,3,4,4,4,4,5,4,3,5,4,2,3.8,4,3.266666667,164,19,Woman,1.85,3,2,0,3.5,3,2,0,2,3,0,0,5,3,4
306,100,125,1,1,1,1,19,Woman,100.184,3,2,2,2,3,3,2,0,1,2,3,4,4,4,4,4,4,2,4,3,4,4,4,4,4,4,4,3,4,5,2,3.6,4,3.2,164,19,Woman,1.85,3,2,0,3.5,3,2,0,2,3,0,0,5,3,4
377,100,190,1,1,1,1,20,Woman,133.261,0,0,0,0,0,0,0,0,0,0,3,4,4,4,3,4,4,2,4,5,3,2,2,2,3,2,3,4,4,4,0,3.7,2.9,2.2,166,20,Woman,1.5,0,5,2,3,3,0,1,1,0,0,1,0,3,3
261,100,122,1,1,1,1,18,Woman,98.139,2,3,4,5,4,1,1,0,2,1,2,3,4,5,4,4,4,3,2,4,5,5,5,5,5,5,5,3,5,5,2.3,3.5,4.8,3.533333333,169,18,Woman,1.2,2,3,0,0,2,2,0,0,3,0,0,1,0,0
495,100,164,1,1,1,1,19,Woman,144.467,5,5,5,5,5,5,5,5,5,5,3,2,3,3,3,2,3,3,3,3,4,3,4,4,4,3,3,4,4,4,5,2.8,3.7,3.833333333,170,19,Woman,2.25,3,3,4,2.5,4,3,0,0,3,0,0,5,3,2
231,100,173,1,1,1,1,18,Woman,114.775,1,2,3,5,5,4,3,1,3,4,5,4,5,4,5,4,5,3,4,4,5,3,3,5,5,5,4,4,4,5,3.1,4.3,4.3,3.9,171,18,Woman,2.85,5,5,3,1.5,5,5,0,0,2,2,4,1,1,2
549,100,48,1,1,1,1,18,Man,32.249,1,3,2,3,3,5,2,1,4,1,0,4,4,4,2,3,3,4,1,2,1,4,2,2,4,3,1,3,4,4,2.5,2.7,2.8,2.666666667,172,18,Man,1.95,5,5,0,0.5,3,4,0,0,2,0,5,0,0,1
