ParticpantNo.,No. Resp,vEARscore,VidRating1,VidRating2,VidRating3,VidRating4,VidRating5,VidRating6,VidRating7,VidRating8,VidRating9,VidRating10,VidRating11,VidRating12,VidRating13,VidRating14,VidRating15,VidRating16,VidInPos1,VidInPos2,VidInPos3,VidInPos4,VidInPos5,VidInPos6,VidInPos7,VidInPos8,VidInPos9,VidInPos10,VidInPos11,VidInPos12,VidInPos13,VidInPos14,VidInPos15,VidInPos16
2133004,16,0.625,1,2,0,0,2,1,0,0,0,0,0,2,0,1,0,1,8,9,12,16,3,2,1,7,14,6,13,10,15,5,4,11
2133005,16,0.375,0,1,0,0,0,1,0,2,1,0,1,0,0,0,0,0,16,1,8,15,13,2,5,3,10,14,4,12,7,6,11,9
2133006,16,0.1875,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,11,6,2,15,14,1,3,13,12,10,5,7,4,9,8,16
2133008,16,0.25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,12,3,8,14,11,13,5,10,4,7,2,15,6,9,1,16
2133009,16,1,2,0,0,1,0,2,2,1,0,0,2,2,3,0,0,1,2,8,11,1,14,7,16,4,13,12,9,5,6,3,15,10
2133010,16,0.125,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,16,12,2,1,13,9,15,8,14,11,10,3,4,5,6,7
2133012,16,0.125,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,7,4,8,15,10,13,1,6,14,2,9,12,3,11,5,16
2133013,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,9,3,13,15,16,6,4,14,7,2,11,12,5,1
2133014,16,0.375,0,1,2,0,1,0,0,0,0,1,0,0,0,0,1,0,7,3,8,10,14,2,15,16,5,1,11,4,13,9,6,12
2133016,16,0.625,1,2,0,1,3,0,0,0,0,0,0,0,1,2,0,0,1,16,9,13,14,11,2,4,3,10,7,12,8,6,15,5
2133019,16,0.3125,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,12,3,4,11,5,2,16,8,7,1,6,15,13,14
2133020,16,0.9375,1,1,2,2,1,1,0,1,2,2,0,1,0,0,0,1,16,2,8,3,13,9,11,12,7,1,4,14,5,15,6,10
2133021,16,0.1875,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2133022,16,2.625,2,3,3,1,3,1,3,2,4,3,3,3,2,3,3,3,14,5,3,13,16,11,15,2,12,10,1,7,6,9,4,8
2133023,16,0.9375,1,1,1,1,0,3,2,0,2,1,0,0,1,1,0,1,9,4,2,14,7,5,15,8,13,11,6,16,10,12,3,1
2133024,16,0.625,0,0,0,1,1,0,1,0,0,2,0,1,3,0,1,0,14,6,15,3,12,8,2,13,5,9,7,4,1,11,10,16
2133026,16,0.8125,0,0,0,0,1,1,1,0,0,2,2,1,1,0,2,2,2,10,8,16,15,4,7,1,11,9,3,12,5,13,6,14
2133028,16,3.125,4,2,1,5,4,0,5,5,4,3,0,5,4,3,4,1,6,12,5,11,16,9,1,4,7,15,14,3,2,13,8,10
2133030,16,0.25,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,8,11,9,12,10,5,13,16,15,2,3,6,4,7,1,14
2133031,16,2.125,3,3,4,1,1,4,1,3,5,2,3,0,3,0,1,0,8,16,3,15,5,10,9,6,1,4,14,7,12,13,11,2
2133032,16,0.125,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4,14,10,1,7,3,11,6,9,8,2,12,16,15,13,5
2133034,16,2,2,1,4,4,0,4,2,0,4,0,1,1,4,0,4,1,12,13,1,16,8,10,9,15,14,7,6,5,4,2,3,11
2133041,16,1,1,1,2,1,0,1,2,0,3,0,0,1,0,2,1,1,14,1,2,16,8,6,11,5,3,4,7,13,15,9,12,10
2133052,16,1.875,1,1,1,1,3,2,4,1,1,3,1,1,3,3,1,3,13,14,1,3,9,5,4,11,16,15,7,8,12,10,6,2
2133053,16,0.4375,0,1,0,2,1,0,0,0,0,0,0,0,0,2,0,1,15,2,3,13,4,5,8,6,12,11,16,10,7,14,1,9
2133056,16,0.625,0,1,1,0,2,3,0,1,0,0,0,0,0,2,0,0,9,10,16,6,7,3,1,14,11,13,8,2,15,12,5,4
2133059,16,0.5,0,1,0,1,1,2,0,1,1,0,1,0,0,0,0,0,1,3,10,16,13,2,7,6,4,12,8,9,14,5,11,15
2133125,16,2.0625,1,3,1,0,2,3,1,2,0,2,4,4,4,2,2,2,8,12,6,13,16,15,5,9,14,11,1,10,3,7,2,4
2133416,16,1.875,2,1,1,2,3,4,0,0,1,2,2,3,0,4,1,4,1,7,5,16,14,15,3,6,13,11,4,12,8,10,2,9
2138421,16,1.375,0,2,3,0,1,0,0,2,2,2,0,3,3,1,3,0,9,4,15,12,2,3,1,14,10,8,11,7,6,5,16,13
2139207,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,8,12,5,2,13,4,1,14,10,6,7,3,9,16
2139835,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,10,12,1,4,5,6,16,15,2,8,11,3,9,7
2140781,16,0.1875,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,9,2,6,7,16,12,11,1,10,3,13,14,15
2140784,16,0.3125,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,6,5,10,7,2,11,12,9,15,14,4,16,3,13,8
2140787,16,0.625,0,0,0,1,1,0,0,2,1,0,3,1,0,0,0,1,8,7,2,10,14,5,15,1,4,11,3,9,16,6,12,13
2140793,16,0.1875,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,16,15,12,4,11,7,3,10,13,5,9,14,1,2,8,6
2140794,16,2.375,3,2,3,5,2,1,1,2,3,4,0,1,3,1,3,4,15,9,5,1,4,3,2,6,16,13,10,11,8,14,12,7
2140795,16,0.6875,0,0,0,0,0,1,0,1,1,2,0,0,1,2,2,1,14,15,12,7,2,3,8,9,11,6,4,13,5,10,16,1
2140798,16,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,2,9,13,11,16,4,5,3,1,7,8,12,15,6,10
2140799,16,0.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,8,15,6,9,10,16,13,2,4,5,3,12,7,1,11
2140800,16,1.25,0,3,0,3,2,3,3,1,0,0,0,0,1,0,1,3,5,3,13,4,1,9,6,2,11,7,10,15,14,12,8,16
2140801,16,1.5625,2,2,0,4,2,3,4,3,0,1,0,0,0,3,1,0,8,6,13,15,11,12,5,3,4,9,1,10,16,7,2,14
2140802,16,1.125,0,2,2,1,2,2,0,1,3,3,0,1,0,0,0,1,5,10,8,3,16,1,15,4,12,9,7,13,6,11,14,2
2140805,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,12,1,2,13,4,8,9,15,16,5,11,3,6
2140807,16,2.125,2,3,0,3,3,0,2,1,3,3,2,4,2,3,1,2,16,6,5,12,14,11,10,9,2,13,7,3,8,1,15,4
2140808,16,0.625,0,0,1,0,0,0,2,0,0,0,2,0,2,3,0,0,3,5,6,13,14,11,9,8,15,2,16,7,4,1,12,10
2140809,16,1.875,3,2,0,3,0,4,1,4,3,0,0,0,3,5,0,2,2,15,6,11,16,9,10,8,3,4,13,7,5,1,14,12
2140812,16,2.125,0,2,1,3,1,2,3,3,2,1,1,3,3,3,3,3,4,12,16,10,9,3,15,8,6,13,11,14,7,5,2,1
2140816,16,2.25,2,3,4,2,1,0,1,0,0,3,3,4,4,0,4,5,2,3,7,9,8,6,4,13,11,15,12,10,16,5,1,14
2140818,16,0.375,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,11,2,16,13,3,12,6,7,14,9,15,10,8,5,4,1
2140819,16,2.25,4,0,5,4,3,0,5,1,0,3,4,2,0,5,0,0,3,5,6,13,2,10,12,4,7,11,15,1,16,9,8,14
2140820,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,15,16,8,7,9,11,13,12,5,1,14,3,10
2140823,16,0.1875,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,14,8,5,15,2,13,10,4,16,3,6,9,11,12,1
2140824,16,1,0,0,2,4,3,2,2,0,0,0,0,1,1,1,0,0,7,13,8,3,11,10,9,16,14,5,15,6,12,1,2,4
2140825,16,0.0625,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,14,6,7,8,15,2,4,16,3,12,9,11,10,13
2140827,16,0.5,1,1,0,2,0,0,2,0,0,1,0,1,0,0,0,0,14,8,7,3,12,5,2,16,1,13,9,6,4,15,10,11
2140828,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,10,12,16,1,13,8,4,3,6,5,11,9,15,7,2
2140830,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,9,13,4,16,8,1,5,11,15,7,10,2,14,6
2140832,16,1.25,0,1,3,1,3,0,3,1,0,1,1,0,3,2,1,0,10,14,12,7,1,13,3,4,15,5,16,8,6,9,2,11
2140837,16,0.3125,0,0,1,0,0,2,0,0,0,0,1,0,0,0,1,0,8,5,3,9,6,14,12,15,13,1,2,11,16,7,4,10
2140840,16,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,3,6,11,5,9,16,10,8,14,15,13,2,7,4,1
2140841,16,0.75,0,2,0,0,1,0,0,0,2,0,2,2,1,0,1,1,10,3,8,11,13,12,16,5,6,7,9,4,1,14,2,15
2140842,16,0.0625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,11,7,6,9,14,5,12,2,10,15,1,4,8,13
2140843,16,0.25,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,8,12,16,7,15,11,4,14,9,13,6,5,3,1,2,10
2140845,16,0.5625,0,0,0,1,2,3,0,0,0,0,0,1,0,0,1,1,2,4,13,12,6,15,14,8,5,9,11,3,7,16,10,1
2140856,16,0.8125,1,0,3,0,1,2,3,0,0,0,3,0,0,0,0,0,9,3,6,10,8,2,4,12,15,7,5,16,1,13,11,14
2140859,16,0.875,3,1,1,0,2,1,0,0,2,1,0,0,0,1,1,1,14,6,11,13,5,4,12,16,15,1,8,10,7,9,3,2
2140865,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,10,15,4,7,12,3,2,11,16,8,14,13,9,5
2140868,16,1.625,1,3,0,0,2,0,2,0,1,1,3,2,1,4,4,2,7,13,3,14,6,10,4,12,8,11,9,2,5,15,1,16
2140871,16,1.125,1,0,0,1,0,2,1,3,2,1,1,1,1,1,1,2,14,16,10,12,11,4,7,8,13,9,5,1,3,2,6,15
2140875,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,8,16,4,14,3,5,7,12,1,10,2,11,15,6
2140886,16,0.1875,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,5,6,11,12,8,14,1,7,13,10,16,15,3,9,4
2140891,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,13,1,16,14,12,5,6,3,9,8,11,2,4,10,7
2140893,16,1.375,2,0,3,1,3,0,3,0,3,2,0,2,0,3,0,0,1,5,4,8,3,10,12,2,13,6,9,14,7,16,15,11
2140895,16,0.375,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,13,9,8,10,5,3,4,15,6,7,12,14,11,16,2,1
2140899,16,2.875,3,3,3,3,3,3,3,3,3,3,2,2,3,4,3,2,15,2,10,4,5,13,3,7,8,14,12,11,16,6,9,1
2140910,16,0.0625,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,12,2,16,4,10,3,6,14,13,9,1,11,15,8,5
2140933,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,4,11,7,15,5,1,9,16,3,2,10,8,6,12
2140935,16,1.3125,1,2,0,0,1,3,2,3,1,2,1,1,0,0,4,0,4,14,8,9,11,10,7,1,12,15,2,16,5,6,3,13
2140954,16,0.625,1,2,0,0,1,1,0,2,0,0,0,0,1,2,0,0,3,1,9,13,16,8,11,2,5,14,4,10,6,12,15,7
2141314,16,0.9375,2,1,1,1,0,1,1,1,2,1,0,0,2,0,2,0,14,3,13,11,12,5,16,8,1,6,15,2,4,7,10,9
2141350,16,2.875,5,5,5,0,5,3,0,5,3,5,4,3,0,0,0,3,1,10,6,16,3,13,12,9,2,5,7,14,11,4,8,15
2141433,16,0.125,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,9,14,3,15,13,7,4,16,12,11,10,2,8,6
2145241,16,0.3125,0,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,5,12,8,9,2,1,10,14,7,16,4,15,6,13,3,11
2145243,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,5,11,13,16,10,15,6,7,14,1,9,2,3,4
2145244,16,0.75,1,2,2,1,2,1,0,0,1,0,0,1,0,0,0,1,3,7,11,14,2,4,13,15,9,16,1,10,8,6,12,5
2145245,16,0.3125,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,6,12,2,5,16,8,10,3,9,13,11,15,1,14,4,7
2145247,16,0.125,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,16,15,5,3,2,9,14,7,11,10,8,13,6,12
2145248,16,0.5625,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,2,15,7,13,2,14,5,1,9,11,6,10,8,12,16,4,3
2145249,16,4.3125,4,5,4,5,4,5,4,5,2,4,4,3,5,5,5,5,7,3,6,2,16,8,11,14,5,12,13,15,9,1,10,4
2145250,16,0.9375,1,0,1,0,2,1,0,3,0,1,1,1,1,0,1,2,13,9,10,4,6,1,16,15,14,7,5,2,11,8,12,3
2145251,16,2.8125,0,0,4,1,3,3,3,4,5,4,4,0,4,3,3,4,4,9,12,11,16,2,14,7,6,8,5,15,3,1,13,10
2145252,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,12,15,7,5,6,8,16,14,4,9,11,2,1,3
2145253,16,1.4375,3,3,0,1,0,0,1,3,0,3,3,4,0,1,1,0,15,3,5,2,7,8,6,9,12,4,11,10,14,1,13,16
2145254,16,1.4375,1,2,0,2,1,2,2,2,1,0,1,2,2,2,1,2,12,4,15,2,8,13,1,9,6,5,7,16,14,10,11,3
2145255,16,1.0625,1,0,2,3,0,1,0,3,1,0,0,2,0,1,2,1,16,3,5,8,2,11,1,6,4,15,14,10,12,9,13,7
2145256,16,0.9375,1,2,3,1,2,0,1,0,0,0,2,1,2,0,0,0,15,2,1,10,16,14,11,9,13,12,3,4,5,6,7,8
2145257,16,0.6875,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,5,14,12,4,16,1,9,3,10,7,11,6,2,13,15,8
2145259,16,0.5,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,4,16,8,2,1,5,14,15,9,11,12,7,3,10,13,6
2145260,16,1.0625,2,1,0,3,0,1,2,1,1,0,0,2,3,1,0,0,6,7,13,14,15,8,10,11,9,5,12,16,3,4,1,2
2145261,16,0.375,0,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,13,10,12,8,15,5,14,11,7,2,4,1,3,6,16,9
2145262,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,16,4,6,11,8,3,10,12,2,1,15,5,7,9
2145265,16,2.6875,1,2,3,3,3,2,3,2,3,3,4,4,2,3,2,3,4,9,12,2,3,16,6,8,13,11,15,7,5,10,1,14
2145266,16,1.375,1,1,2,1,2,0,2,2,2,2,1,3,1,0,1,1,13,15,14,4,3,8,5,12,16,11,1,9,6,7,2,10
2145267,16,0.625,1,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,16,12,8,4,1,15,5,14,13,3,9,6,7,10,2,11
2145268,16,0.875,0,3,0,0,3,0,0,1,0,2,0,2,0,3,0,0,13,8,5,2,1,9,6,4,16,10,12,14,11,3,7,15
2145269,16,0.0625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,14,11,6,15,12,10,16,13,3,4,9,8,7,2,1
2145270,16,0.375,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,2,8,6,13,12,16,14,11,10,15,3,9,7,1,5,4
2145271,16,1.3125,2,1,2,0,1,0,1,2,1,3,2,0,2,3,1,0,16,1,11,2,5,10,7,4,8,3,9,12,15,6,13,14
2145272,16,0.375,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,1,12,16,6,4,2,7,15,10,9,5,8,11,13,1,14,3
2145273,16,0.375,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,14,13,12,8,9,1,3,2,6,4,5,16,11,7,15,10
2145274,16,0.8125,0,0,0,2,1,0,0,2,2,0,0,0,0,3,0,3,5,1,7,10,12,14,11,2,4,9,13,8,15,3,16,6
